# X-ray diffraction data of amorphous ice, measured at APS beamline 6 ID-D by  Mariedahl et al. (J. Phys. Chem. B 2018, DOI: 10.1021/acs.jpcb.8b04823)# Oxygen-Oxygen Structure factor S_OO(Q) data shown in Figure 2 of corresponding paper# S_OO(Q) and standard error obtained by averaging individual runs on different sample positions within the same batch# VHDA (sample #4)
# Q[Å^-1] S_OO(Q) Error
9.000000000000001332e-01 -2.155136215700395250e-03 2.274975574102486298e-03
9.100000000000003642e-01 -2.425427028342262530e-03 2.201369634646898731e-03
9.200000000000001510e-01 -2.740411957460784590e-03 2.140747709122852588e-03
9.300000000000002709e-01 -3.109682108551206550e-03 2.093280222754086758e-03
9.400000000000002798e-01 -3.543454573917675671e-03 2.054956938250467047e-03
9.500000000000002887e-01 -4.035309670509411827e-03 2.020376476952520824e-03
9.600000000000002975e-01 -4.557606664103957227e-03 1.984011625865730270e-03
9.700000000000004174e-01 -5.058725780640174925e-03 1.940623659376227708e-03
9.800000000000002043e-01 -5.470244910513035602e-03 1.890491031552486538e-03
9.900000000000004352e-01 -5.730758283468497666e-03 1.855837469673844676e-03
1.000000000000000222e+00 -5.845905811678614276e-03 1.862813852583076893e-03
1.010000000000000009e+00 -5.941310135708542488e-03 1.902161433253801411e-03
1.020000000000000462e+00 -6.194001151983940384e-03 1.926189168872977043e-03
1.030000000000000249e+00 -6.712866495693422565e-03 1.898442015831461327e-03
1.040000000000000702e+00 -7.328720793144180047e-03 1.845297113942047937e-03
1.050000000000000488e+00 -7.758236659171790020e-03 1.810291202790249984e-03
1.060000000000000497e+00 -7.843963652236322914e-03 1.810231480451993981e-03
1.070000000000000284e+00 -7.726841459638387165e-03 1.830502395961104527e-03
1.080000000000000293e+00 -7.611721641031573421e-03 1.854362111206529903e-03
1.090000000000000080e+00 -7.651144044117370695e-03 1.863677677036470505e-03
1.100000000000000533e+00 -7.903758332214277232e-03 1.840830796993184670e-03
1.110000000000000320e+00 -8.299184648034203804e-03 1.794281703782668212e-03
1.120000000000000773e+00 -8.582208334188679358e-03 1.765129828232408701e-03
1.130000000000000560e+00 -8.516435984863394981e-03 1.786426738063385394e-03
1.140000000000000568e+00 -8.158667994983277716e-03 1.843779390016128368e-03
1.150000000000000355e+00 -7.727470872568250465e-03 1.906004058368238399e-03
1.160000000000000364e+00 -7.376754299216862348e-03 1.955739321606292120e-03
1.170000000000000151e+00 -7.149020436203402246e-03 1.997172663737908135e-03
1.180000000000000604e+00 -7.067835753799708159e-03 2.036809384576069876e-03
1.190000000000000391e+00 -7.058443475139553752e-03 2.084543180544284283e-03
1.200000000000000844e+00 -6.967374250332020874e-03 2.151575841404161377e-03
1.210000000000000631e+00 -6.732893460905903932e-03 2.236893019609968811e-03
1.220000000000000639e+00 -6.457429904458188673e-03 2.318936997082942427e-03
1.230000000000000426e+00 -6.238874923901526620e-03 2.377369055953627418e-03
1.240000000000000435e+00 -6.054516670116073113e-03 2.417815299796247097e-03
1.250000000000000222e+00 -5.871202346867248310e-03 2.457520357859066095e-03
1.260000000000000675e+00 -5.700154395450711918e-03 2.507653741074686304e-03
1.270000000000000462e+00 -5.591625730262876452e-03 2.569053783121408394e-03
1.280000000000000915e+00 -5.586631976870525332e-03 2.640722475435799532e-03
1.290000000000000702e+00 -5.637571185246203868e-03 2.713584303429706062e-03
1.300000000000000711e+00 -5.608010797038690334e-03 2.774543417183441413e-03
1.310000000000000497e+00 -5.371063283561547212e-03 2.822360763570510092e-03
1.320000000000000506e+00 -4.954666231503939214e-03 2.879051779056665192e-03
1.330000000000000293e+00 -4.450509304249513666e-03 2.965979960737528693e-03
1.340000000000000746e+00 -4.027194045687633797e-03 3.080139983976064658e-03
1.350000000000000533e+00 -3.863822653617156322e-03 3.205117604367795775e-03
1.360000000000000986e+00 -4.026703496841001900e-03 3.330090045131505264e-03
1.370000000000000773e+00 -4.214444964748141967e-03 3.457352418902266081e-03
1.380000000000000782e+00 -4.054226507114459983e-03 3.591077761391640519e-03
1.390000000000000568e+00 -3.435007624974667842e-03 3.735847038697090710e-03
1.400000000000000577e+00 -2.510407882798407816e-03 3.896419730973539001e-03
1.410000000000000364e+00 -1.459855401387432760e-03 4.075011982347906923e-03
1.420000000000000817e+00 -4.871577100207361054e-04 4.267650694426671984e-03
1.430000000000000604e+00 2.120011346553333164e-04 4.469597236331240668e-03
1.440000000000001057e+00 6.800843135810906350e-04 4.678536003422229146e-03
1.450000000000000844e+00 1.191537528901719621e-03 4.893831190020844941e-03
1.460000000000000853e+00 1.990205151052636644e-03 5.116657663156374582e-03
