# X-ray diffraction data of amorphous ice, measured at APS beamline 6 ID-D by  Mariedahl et al. (J. Phys. Chem. B 2018, DOI: 10.1021/acs.jpcb.8b04823)# Oxygen-Oxygen Structure factor S_OO(Q) data shown in Figure 2 of corresponding paper# S_OO(Q) and standard error obtained by averaging individual runs on different sample positions within the same batch# eHDA (sample #2)
# Q[Å^-1] S_OO(Q) Error
1.490000000000000435e+00 4.113799385419943805e-02 1.597042188394144809e-03
1.500000000000000888e+00 4.493477041989978743e-02 1.575764088479648852e-03
1.510000000000000675e+00 4.838445090259541753e-02 1.556055224119313584e-03
1.520000000000001128e+00 5.193033574421998533e-02 1.559284336997940812e-03
1.530000000000000915e+00 5.617378062754163626e-02 1.611356474331593737e-03
1.540000000000000924e+00 6.145602622362087569e-02 1.711389973227469326e-03
1.550000000000000711e+00 6.785979513359464976e-02 1.835202822280529011e-03
1.560000000000000719e+00 7.540646178703006020e-02 1.977000708118967134e-03
1.570000000000000506e+00 8.392290716263205164e-02 2.190082355719839315e-03
1.580000000000000959e+00 9.318085406161431827e-02 2.528702482313382235e-03
1.590000000000000746e+00 1.027470849433433225e-01 2.953425098729130747e-03
1.600000000000001199e+00 1.119871667360507056e-01 3.339876696554069501e-03
1.610000000000000986e+00 1.204961422612970540e-01 3.597423871324492359e-03
1.620000000000000995e+00 1.288699727461232458e-01 3.763963681269185974e-03
1.630000000000000782e+00 1.379468503306148230e-01 3.896338495151862279e-03
1.640000000000000790e+00 1.481686872356886842e-01 4.029161891073145679e-03
1.650000000000000577e+00 1.595781606480408676e-01 4.191671818884661581e-03
1.660000000000000808e+00 1.721525663920182303e-01 4.420995047865541872e-03
1.670000000000001039e+00 1.855883203711100882e-01 4.724372199437072012e-03
1.680000000000001270e+00 1.995003156693855306e-01 5.071913532652240833e-03
1.690000000000001057e+00 2.138731288604207859e-01 5.446964716368217670e-03
1.700000000000001066e+00 2.291005198327759895e-01 5.864831271128710666e-03
1.710000000000000853e+00 2.455438115054802140e-01 6.333149757606366254e-03
1.720000000000000862e+00 2.633259968866784595e-01 6.847288772554428402e-03
1.730000000000000648e+00 2.824919054362862170e-01 7.403467679410822254e-03
1.740000000000001323e+00 3.029471072303379642e-01 8.001165477488216687e-03
1.750000000000000666e+00 3.245207633670735281e-01 8.637140959835332490e-03
1.760000000000001341e+00 3.472421940836287746e-01 9.306719136647470872e-03
1.770000000000001128e+00 3.718517423944050493e-01 1.002860065832905309e-02
1.780000000000001137e+00 3.992343331028576636e-01 1.083273387321458635e-02
1.790000000000000924e+00 4.296976649223307465e-01 1.172657512410785717e-02
1.800000000000000933e+00 4.628605897537154124e-01 1.268201597851438024e-02
1.810000000000000719e+00 4.982856593655621835e-01 1.367074652439831395e-02
1.820000000000000950e+00 5.356120431744230137e-01 1.468263990203480356e-02
1.830000000000001181e+00 5.745606969956307264e-01 1.571413370834419398e-02
1.840000000000001412e+00 6.151137413373682916e-01 1.676747109818311002e-02
1.850000000000001199e+00 6.574909857297602800e-01 1.785642776920872560e-02
1.860000000000001208e+00 7.019317082022823451e-01 1.899536506894853455e-02
1.870000000000000995e+00 7.488246057398622035e-01 2.018983618829279722e-02
1.880000000000001004e+00 7.986278093708630843e-01 2.144074128938753751e-02
1.890000000000000790e+00 8.513746801549260113e-01 2.274350539380018063e-02
1.900000000000001465e+00 9.065419474999457661e-01 2.408447063063759441e-02
1.910000000000000808e+00 9.636248308867806367e-01 2.544976150389374747e-02
1.920000000000001483e+00 1.022328098223884263e+00 2.683403444793378348e-02
1.930000000000001270e+00 1.082378235754875240e+00 2.823635608395395208e-02
1.940000000000001279e+00 1.143476490884347552e+00 2.964952522325869921e-02
1.950000000000001066e+00 1.205252659500662071e+00 3.105320683479785224e-02
1.960000000000001075e+00 1.267276652938561954e+00 3.242638756877243289e-02
1.970000000000000862e+00 1.329006922404098567e+00 3.375932708352197970e-02
1.980000000000001092e+00 1.389913859124752626e+00 3.504869178810744723e-02
1.990000000000001323e+00 1.449472487404726451e+00 3.628642373759974338e-02
2.000000000000001332e+00 1.507073501207397470e+00 3.745360741664326143e-02
2.010000000000001119e+00 1.562118336078846204e+00 3.853048396700196887e-02
2.020000000000001350e+00 1.614260830788308843e+00 3.950780606807059031e-02
2.030000000000001137e+00 1.663271223236892249e+00 4.038293065167613410e-02
2.040000000000001368e+00 1.708797251178444609e+00 4.115183494947404624e-02
2.050000000000001155e+00 1.750303374672078860e+00 4.180708453445602241e-02
2.060000000000001830e+00 1.787253316179294060e+00 4.234111123741646221e-02
2.070000000000000728e+00 1.819360024756793370e+00 4.275205811102264497e-02
2.080000000000001403e+00 1.846491590437076669e+00 4.304207253387307835e-02
2.090000000000001190e+00 1.868550710885202859e+00 4.321335182325836133e-02
2.100000000000001421e+00 1.885539490319614098e+00 4.326805460190217417e-02
2.110000000000001208e+00 1.897464983112875814e+00 4.320854822662538453e-02
2.120000000000001439e+00 1.904342988440573592e+00 4.304095292381074356e-02
2.130000000000001226e+00 1.906237875808271420e+00 4.277448849823912297e-02
2.140000000000001013e+00 1.903321543534173488e+00 4.241791703242375061e-02
2.150000000000001688e+00 1.895884870440128545e+00 4.197747848192274339e-02
2.160000000000001474e+00 1.884211575386337989e+00 4.145872385940544552e-02
2.170000000000001261e+00 1.868561555489834936e+00 4.086535477685544065e-02
2.180000000000001492e+00 1.849234088181787028e+00 4.019953488863496627e-02
2.190000000000001279e+00 1.826530243976018708e+00 3.946647877641400182e-02
2.200000000000001510e+00 1.800863299062526401e+00 3.868257369475768676e-02
2.210000000000001297e+00 1.772726011346665409e+00 3.786714176899811518e-02
2.220000000000001972e+00 1.742611818147715930e+00 3.703787525428747784e-02
2.230000000000000870e+00 1.710923881443570549e+00 3.621083050253213337e-02
2.240000000000001545e+00 1.678078536208156057e+00 3.539320374277529768e-02
2.250000000000001332e+00 1.644439021499156217e+00 3.455581535803300963e-02
2.260000000000001563e+00 1.610298832016092696e+00 3.366266842982877650e-02
2.270000000000001350e+00 1.575879980290146198e+00 3.273177872416178913e-02
2.280000000000001581e+00 1.541535590988687199e+00 3.183821050408581349e-02
2.290000000000001368e+00 1.507603019023286306e+00 3.103996391551549008e-02
2.300000000000001155e+00 1.473974351485968226e+00 3.029682581090050592e-02
2.310000000000001830e+00 1.440426427689079913e+00 2.952940725056110369e-02
2.320000000000001616e+00 1.407025095658932301e+00 2.867864923449478520e-02
2.330000000000001403e+00 1.374025412245341471e+00 2.772325990179158595e-02
2.340000000000001634e+00 1.341538438265575506e+00 2.667189758471252836e-02
2.350000000000001421e+00 1.309587370431376963e+00 2.565268937109234371e-02
2.360000000000001652e+00 1.278240876702075202e+00 2.482828194881552680e-02
2.370000000000001439e+00 1.247655453521592461e+00 2.425568173274282938e-02
2.380000000000002114e+00 1.218043144071286443e+00 2.385544254400570260e-02
2.390000000000001013e+00 1.189723843779221468e+00 2.354157087550417041e-02
2.400000000000001688e+00 1.163047262855044339e+00 2.324894760065452162e-02
2.410000000000001474e+00 1.138285572879229379e+00 2.291860234088112513e-02
2.420000000000001705e+00 1.115469181948282484e+00 2.252894241214056445e-02
2.430000000000001492e+00 1.094495009708251532e+00 2.211599428976488563e-02
2.440000000000001723e+00 1.075222973230964385e+00 2.171669869273372064e-02
2.450000000000001510e+00 1.057399109480979815e+00 2.133594165136737039e-02
2.460000000000001297e+00 1.040774680173405020e+00 2.096571333092122486e-02
2.470000000000001972e+00 1.025348974935526902e+00 2.060188367324838551e-02
2.480000000000001759e+00 1.011285190633643305e+00 2.024683347117030990e-02
2.490000000000001545e+00 9.986515411142899978e-01 1.990404869088762199e-02
2.500000000000001776e+00 9.873741827905307966e-01 1.958206165165144938e-02
2.510000000000001563e+00 9.773384961663221793e-01 1.929175873747891387e-02
2.520000000000001794e+00 9.683537322406574610e-01 1.903830845850773210e-02
2.530000000000001581e+00 9.602266902827594208e-01 1.881653030269900967e-02
2.540000000000002256e+00 9.528772369091648153e-01 1.862094764063903021e-02
2.550000000000001155e+00 9.464047568906172048e-01 1.845433598576445150e-02
