# X-ray diffraction data of amorphous ice, measured at APS beamline 6 ID-D by  Mariedahl et al. (J. Phys. Chem. B 2018, DOI: 10.1021/acs.jpcb.8b04823)# Oxygen-Oxygen Structure factor S_OO(Q) data shown in Figure 2 of corresponding paper# S_OO(Q) and standard error obtained by averaging individual runs on different sample positions within the same batch# LDA-II (sample #1)
# Q[Å^-1] S_OO(Q) Error
9.300000000000002709e-01 4.993080157229930205e-02 6.939572662601245327e-03
9.400000000000001688e-01 5.093355282067761614e-02 6.814892707506896297e-03
9.500000000000003997e-01 5.199838701186518947e-02 6.677319395896898734e-03
9.600000000000002975e-01 5.318264886002024155e-02 6.528451845012011971e-03
9.700000000000003064e-01 5.452927194882147000e-02 6.366700953586421942e-03
9.800000000000002043e-01 5.607793438128171049e-02 6.194436213466494694e-03
9.900000000000004352e-01 5.778473999617798895e-02 6.030680832690858174e-03
1.000000000000000444e+00 5.952406493538613119e-02 5.897807434572282376e-03
1.010000000000000231e+00 6.122341275012643802e-02 5.789197058184622317e-03
1.020000000000000462e+00 6.294987053828222934e-02 5.666195386429873082e-03
1.030000000000000249e+00 6.477503688429712969e-02 5.498998500472829579e-03
1.040000000000000480e+00 6.669296783776004767e-02 5.309091961842528525e-03
1.050000000000000266e+00 6.870985730602145736e-02 5.132447661852756679e-03
1.060000000000000497e+00 7.087146420246305534e-02 4.986910718784965356e-03
1.070000000000000284e+00 7.312801924097449280e-02 4.868643102248022304e-03
1.080000000000000515e+00 7.537699065958244904e-02 4.769971095550220100e-03
1.090000000000000302e+00 7.755724420308510170e-02 4.669852681765167268e-03
1.100000000000000533e+00 7.969657835185491035e-02 4.543824593699540178e-03
1.110000000000000320e+00 8.186232554186606558e-02 4.399442950169219282e-03
1.120000000000000551e+00 8.418500122183104895e-02 4.284763800254379716e-03
1.130000000000000338e+00 8.679901766773616412e-02 4.237896995239355882e-03
1.140000000000000568e+00 8.974121257423486875e-02 4.233178372171197273e-03
1.150000000000000355e+00 9.295950086840218396e-02 4.220987716725344702e-03
1.160000000000000586e+00 9.640392512150733340e-02 4.173871519835530529e-03
1.170000000000000373e+00 1.000404339884475025e-01 4.100929271387933513e-03
1.180000000000000604e+00 1.038358709595256224e-01 4.015149029256931054e-03
1.190000000000000391e+00 1.077836873156745312e-01 3.930744542919126228e-03
1.200000000000000622e+00 1.119270570248396546e-01 3.862535797152760741e-03
1.210000000000000409e+00 1.163361780926429195e-01 3.807335389653639882e-03
1.220000000000000639e+00 1.211165053960066851e-01 3.729953873458344976e-03
1.230000000000000426e+00 1.263730618546697604e-01 3.596349426241408909e-03
1.240000000000000657e+00 1.321299024585752269e-01 3.420860116317736219e-03
1.250000000000000444e+00 1.383269879309573236e-01 3.241178990044600930e-03
1.260000000000000675e+00 1.449101439637995314e-01 3.081478163116184530e-03
1.270000000000000462e+00 1.518815885846604152e-01 2.940083036200659677e-03
1.280000000000000693e+00 1.592674845657074678e-01 2.811015713276762782e-03
1.290000000000000480e+00 1.672171077239489878e-01 2.676096700473445510e-03
1.300000000000000711e+00 1.759863095866593119e-01 2.512137479747386572e-03
1.310000000000000497e+00 1.857724277052421047e-01 2.320032677468643334e-03
1.320000000000000728e+00 1.965138724060593589e-01 2.146129607134221028e-03
1.330000000000000515e+00 2.080818310861359544e-01 2.035829507184520794e-03
1.340000000000000746e+00 2.203638466088417847e-01 1.987311238907646990e-03
1.350000000000000533e+00 2.332920828612754516e-01 1.972778018359881876e-03
1.360000000000000764e+00 2.469222752504437179e-01 1.973332617433340083e-03
1.370000000000000551e+00 2.616969982799312033e-01 1.990961811009692422e-03
1.380000000000000782e+00 2.781326907107351532e-01 2.031969474593109393e-03
1.390000000000000568e+00 2.964572423266556567e-01 2.106759932727620983e-03
1.400000000000000799e+00 3.166184438828059666e-01 2.225264322675858490e-03
1.410000000000000586e+00 3.385883916981074493e-01 2.393215786450440113e-03
1.420000000000000817e+00 3.624465630131189497e-01 2.615931984435044058e-03
1.430000000000000604e+00 3.882929641325696402e-01 2.900188355717704149e-03
1.440000000000000835e+00 4.163151084183848161e-01 3.243747667224199018e-03
1.450000000000000622e+00 4.468255162047126139e-01 3.636618882488134533e-03
1.460000000000000853e+00 4.801460599060227707e-01 4.071376881395295973e-03
1.470000000000000639e+00 5.165536242985979687e-01 4.548436340156246371e-03
1.480000000000000870e+00 5.562973501720117619e-01 5.068547245954293026e-03
1.490000000000000657e+00 5.993662920361428892e-01 5.634784659168381657e-03
1.500000000000000888e+00 6.455063467299902991e-01 6.254503268317932775e-03
1.510000000000000675e+00 6.946543742317070613e-01 6.934594569406466076e-03
1.520000000000000906e+00 7.475181721192832862e-01 7.672971468862387068e-03
1.530000000000000693e+00 8.049595151342616717e-01 8.464407688271450431e-03
1.540000000000000924e+00 8.672096751448243879e-01 9.303140750726995867e-03
1.550000000000000711e+00 9.339058949246741292e-01 1.018366048365688600e-02
1.560000000000000941e+00 1.004599771346789350e+00 1.110255347080342861e-02
1.570000000000000728e+00 1.078606231573636887e+00 1.206296206976301653e-02
1.580000000000000959e+00 1.155166504306403441e+00 1.306904540773675717e-02
1.590000000000000746e+00 1.233165917762962138e+00 1.411304387977488015e-02
1.600000000000000977e+00 1.311147896871933671e+00 1.517542036391376220e-02
1.610000000000000764e+00 1.387851902118543812e+00 1.623537412543211642e-02
1.620000000000000995e+00 1.462973256009082679e+00 1.727095314688829181e-02
1.630000000000000782e+00 1.536397719007458473e+00 1.825962402401748799e-02
1.640000000000001013e+00 1.607040431876429309e+00 1.918060842200497787e-02
1.650000000000000799e+00 1.672779938372042086e+00 2.001575850458562136e-02
1.660000000000000808e+00 1.731556611679893720e+00 2.075319935730177145e-02
1.670000000000001039e+00 1.781884287413743051e+00 2.140261172189992719e-02
1.680000000000001048e+00 1.822430059477178288e+00 2.197598539659251921e-02
1.690000000000000835e+00 1.852368063324898007e+00 2.245501251233501111e-02
1.700000000000001066e+00 1.871445515617425226e+00 2.278720446309514050e-02
1.710000000000000853e+00 1.879507759702164105e+00 2.293156027984923420e-02
1.720000000000001084e+00 1.876865722712140583e+00 2.292244854774181523e-02
1.730000000000000870e+00 1.863978815025767233e+00 2.281923001926092903e-02
1.740000000000001323e+00 1.841152881545877307e+00 2.263981514204049805e-02
1.750000000000000666e+00 1.808587432853858035e+00 2.234512318956648549e-02
1.760000000000001119e+00 1.766775709915623382e+00 2.190146686737354242e-02
1.770000000000000906e+00 1.717436902293528744e+00 2.133385954310310778e-02
1.780000000000001137e+00 1.662647547086811173e+00 2.068812845006059303e-02
1.790000000000000924e+00 1.604100151649940020e+00 1.999723308603881117e-02
1.800000000000001155e+00 1.543070995454753458e+00 1.927612191380265530e-02
1.810000000000000941e+00 1.480732536628451390e+00 1.853681907018719932e-02
1.820000000000000950e+00 1.417673812920994036e+00 1.777836431548475774e-02
